S,E,I,R
3715,230,604,15451
3724,225,601,15450
3748,233,599,15420
3758,233,597,15412
3776,226,599,15399
3806,219,593,15382
3808,216,596,15380
3823,242,570,15365
3830,251,587,15332
3844,227,609,15320
3853,217,635,15295
3860,243,608,15289
3869,228,607,15296
3902,225,604,15269
3919,209,606,15266
3909,230,591,15270
3898,227,600,15275
3903,232,607,15258
3920,228,597,15255
3941,205,583,15271
3959,230,563,15248
3977,210,580,15233
3978,225,579,15218
3996,222,585,15197
4028,228,585,15159
4017,235,576,15172
3995,243,621,15141
3993,249,630,15128
4004,246,632,15118
4000,256,634,15110
3976,249,643,15132
3984,256,647,15113
3982,249,662,15107
3998,252,660,15090
3995,246,663,15096
3997,238,665,15100
4000,251,642,15107
4006,254,645,15095
4010,261,646,15083
4001,255,665,15079
3989,252,682,15077
3984,263,672,15081
3966,271,671,15092
3981,256,690,15073
3963,256,688,15093
3925,279,712,15084
3916,288,713,15083
3904,275,703,15118
3886,265,717,15132
3869,278,716,15137
3836,298,717,15149
3836,285,729,15150
3813,306,722,15159
3791,302,703,15204
3776,304,714,15206
3787,286,719,15208
3786,277,741,15196
3784,288,712,15216
3792,265,714,15229
3790,256,719,15235
3784,275,710,15231
3791,281,718,15210
3777,282,709,15232
3777,258,747,15218
3755,266,744,15235
3746,272,735,15247
3746,237,734,15283
3736,238,734,15292
3728,246,708,15318
3723,227,711,15339
3725,249,697,15329
3717,239,691,15353
3684,277,680,15359
